SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
14.5,23.51,12.93,621.0,13.57,11.0,0.7,,60.0,,2.97,15.63,27.8,0.0,20.0,30.47,IR-O-U-0555,72,Overall,3.38
13.31,24.01,17.86,5.69,13.93,2.5,0.44,,60.0,,13.27,0.53,30.0,544.0,20.0,27.2,IR-O-U-0435,73,Overall,3.75
14.0,22.34,16.25,8.56,14.78,125.0,0.83,,60.0,,11.31,15.07,30.0,1.66,20.0,16.61,IR-O-U-0107,74,Overall,3.5
8.72,21.72,17.05,12.99,16.75,125.0,0.65,,59.55,,10.55,23.65,19.97,342.0,20.0,6.07,IR-O-U-0272,75,Overall,8.0
11.06,20.67,15.02,735.0,18.8,4.0,0.6,,60.0,,16.94,159.0,30.0,147.0,20.0,17.96,IR-O-U-0447,76,Overall,3.5
1441.0,1748.0,13.66,727.0,20.98,2.25,128.0,,59.38,,10.55,13.65,19.98,,20.0,4.99,IR-O-U-0410,77,Overall,6.0
,25.0,17.92,18.23,19.22,0.5,0.47,,54.01,,1.03,24.92,28.48,0.55,20.0,14.36,IR-O-U-0691,78,Overall,2.75
842.0,25.0,16.89,16.13,14.46,125.0,2.7,,59.64,,12.03,141.0,30.0,3.23,20.0,3.89,IR-O-U-0262,79,Overall,475.0
8.66,20.22,16.67,9.5,17.79,2.25,0.9,,59.92,,837.0,2141.0,15.22,5.25,20.0,20.03,IR-O-U-0355,80,Overall,425.0
10.12,25.0,18.51,15.11,16.08,2.0,2.8,,,,13.51,127.0,28.21,127.0,20.0,642.0,IR-O-U-0381,81,Overall,4.06
10.0,24.41,16.12,7355.0,19.87,2.5,0.36,,60.0,,6.99,4.1,25.95,8.04,20.0,11.05,IR-O-C-16604,82,Overall,3.75
9.52,25.0,18.94,19.24,14.86,2.0,1.04,,60.0,,2.46,682.0,28.53,5.18,20.0,,IR-O-U-0523,83,Overall,2.56
13.3,23.85,17.26,918.0,16.89,7.0,0.96,,55.0,,6.68,11.64,30.0,2.62,20.0,41.0,IR-O-U-0295,84,Overall,488.0
11.0,24.72,19.87,12.72,11.79,125.0,0.45,,60.0,,5.82,18.39,26.48,1.76,20.0,13.78,IR-O-U-0642,85,Overall,3.88
11.09,20.14,15.83,8.65,15.18,6.5,149.0,,59.54,,957.0,12.16,20.92,5.29,20.0,12.59,IR-O-U-0334,86,Overall,3.94
12.5,25.0,18.94,10.52,10.52,0.0,0.73,,60.0,,18.84,0.48,30.0,2.09,20.0,3.52,IR-O-U-0195,87,Overall,413.0
14.86,25.0,17.0,12.09,778.0,1.0,1.8,,58.84,,19.18,2.32,30.0,6.76,20.0,,IR-O-U-0485,88,Overall,419.0
6.67,2481.0,18.98,10.5,1715.0,1.5,135.0,,49.5,,3.02,19.94,21.08,2.66,20.0,19.0,IR-O-U-0014,89,Overall,788.0
14.61,25.0,17.79,7.76,4.18,7.0,0.78,,60.0,,10.62,20.13,29.51,178.0,20.0,8.46,IR-O-U-0446,90,Overall,619.0
12.63,12.34,942.0,8.06,19.12,0.75,0.81,,54.23,,25.17,2.58,24.97,2.61,20.0,16.61,IR-O-U-0323,91,Overall,9.0
16.86,18.87,11.81,10.52,731.0,1.0,175.0,,60.0,,28.25,2.8,30.0,6.08,20.0,10.73,IR-O-U-0318,92,Overall,638.0
15.77,22.86,13.44,438.0,10.54,7.0,0.34,,60.0,,8.96,19.69,29.54,3.73,20.0,913.0,IR-O-U-0474,93,Overall,488.0
12.31,25.0,17.68,174.0,9.96,125.0,2.29,,60.0,,13.3,441.0,29.17,3.96,20.0,1.6,IR-O-U-0200,94,Overall,438.0
13.89,25.0,18.09,12.06,9.75,450.0,0.53,,60.0,,5.25,16.27,28.13,0.01,20.0,3.89,IR-O-N-10,95,Overall,3.5
18.0,16.52,11.79,3.88,10.09,5.0,0.51,,60.0,,544.0,20.53,30.0,3.7,20.0,37.84,IR-O-U-0217,96,Overall,6.0
11.85,16.88,13.84,751.0,21.17,425.0,0.42,,60.0,,10.76,12.84,15.23,,20.0,463.0,IR-O-U-0055,97,Overall,3.43
14.76,22.96,1458.0,5.18,12.44,7.0,0.36,,60.0,,4.04,18.89,2755.0,31.0,20.0,,IR-O-U-0749,98,Overall,6.0
11.0,25.0,19.93,710.0,778.0,0.75,0.81,,60.0,,10.37,12.2,29.25,10.28,20.0,18.48,IR-O-U-0739,99,Overall,488.0
5.4,25.0,17.95,18.85,14.04,0.0,0.78,,58.25,,0.0,20.39,27.93,156.0,20.0,20.28,IR-O-U-0688,100,Overall,194.0
