SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
17.5,30.0,18.91,14.07,11.85,3.0,3.37,35.14,15.0,12.91,10.65,18.86,28.86,5.08,20.0,10.76,IR-E-U-0476,40,Engineering,
11.5,28.08,18.48,18.3,17.85,7.0,642.0,29.43,15.0,13.64,688.0,5.96,24.32,3.06,20.0,16.24,IR-E-U-0308,41,Engineering,
15.39,23.74,15.26,14.9,23.16,2.25,3.85,31.5,14.98,15.45,8.3,12.92,19.95,727.0,20.0,10.48,IR-E-U-0410,42,Engineering,
15.5,24.22,14.62,16.99,22.23,7.0,0.54,27.61,15.0,11.25,0.39,20.53,22.0,0.12,20.0,18.16,IR-E-U-0564,43,Engineering,
13.31,24.99,16.52,16.73,17.27,6.5,3.66,33.54,15.0,15.55,784.0,11.64,19.02,5.38,20.0,18.16,IR-E-U-0334,44,Engineering,
16.02,30.0,19.99,9.76,26.76,5.0,0.79,14.87,13.58,9.04,3.09,18.89,28.22,412.0,20.0,1.07,IR-E-I-1441,45,Engineering,
10.8,28.57,16.81,13.5,24.95,4.0,0.62,32.25,15.0,12.62,5.51,11.3,22.87,51.0,20.0,12.13,IR-E-U-0329,46,Engineering,
12.5,28.43,15.86,14.5,20.36,2.5,141.0,35.64,15.0,13.39,5.98,4.03,25.71,8.04,20.0,17.21,IR-E-C-16604,47,Engineering,
18.0,24.34,13.63,7.08,16.78,13.0,0.21,30.09,15.0,12.54,491.0,2451.0,19.94,243.0,20.0,20.21,IR-E-U-0379,48,Engineering,
14.07,24.73,16.78,15.67,17.64,125.0,2.74,38.31,15.0,15.83,8.78,14.32,14.84,9.22,20.0,16.97,IR-E-U-0577,49,Engineering,
14.42,22.03,15.09,15.06,24.39,2.25,,30.81,15.0,16.53,782.0,12.76,15.85,,20.0,9.92,IR-E-U-0055,50,Engineering,
13.45,30.0,17.05,15.72,18.52,1.0,2.1,30.39,15.0,15.06,5.58,11.39,18.97,,20.0,19.31,IR-E-U-0202,51,Engineering,
12.75,28.39,15.53,11.97,2155.0,11.0,114.0,20.07,14.26,10.95,2.22,13.41,24.01,0.96,20.0,27.34,IR-E-U-0555,52,Engineering,
12.3,19.7,13.45,13.5,22.01,5.0,2.28,36.78,15.0,14.19,784.0,9.32,11.79,11.9,20.0,635.0,IR-E-U-0072,53,Engineering,
12.27,23.03,14.85,16.17,17.14,2.25,1.86,34.72,13.48,13.42,9.3,10.28,15.66,6.5,20.0,29.71,IR-E-U-0584,54,Engineering,
14.0,29.97,1439.0,12.9,18.15,2.0,0.97,28.44,13.28,13.89,627.0,13.96,20.98,782.0,20.0,11.86,IR-E-U-0374,55,Engineering,
7.95,30.0,18.14,24.63,12.38,0.0,636.0,25.56,14.25,18.17,2.06,19.59,12.46,5.73,20.0,15.0,IR-E-U-0906,56,Engineering,
871.0,30.0,17.64,25.61,842.0,0.0,4.63,33.17,15.0,17.23,0.77,14.49,12.26,725.0,20.0,26.59,IR-E-U-0844,57,Engineering,
14.84,29.28,17.07,10.49,15.23,7.0,0.77,30.5,15.0,12.13,1.01,22.47,26.55,0.15,20.0,5.09,IR-E-U-0749,58,Engineering,
15.89,26.6,15.02,10.76,17.03,4.0,0.28,27.19,14.71,13.75,5.13,16.49,21.39,0.7,20.0,15.5,IR-E-C-7252,59,Engineering,
13.5,30.0,19.38,13.64,9.46,0.75,317.0,3134.0,15.0,1435.0,7.9,11.87,29.26,10.28,20.0,12.13,IR-E-U-0739,60,Engineering,
8.65,29.18,15.78,22.27,11.84,1.0,2.23,33.85,13.18,15.9,401.0,17.61,18.57,5.86,18.0,27.34,IR-E-U-0255,61,Engineering,
15.79,18.67,12.9,15.78,16.19,2.5,2.01,35.03,15.0,17.63,6.7,12.54,12.88,9.96,20.0,15.5,IR-E-U-0530,62,Engineering,
12.0,24.63,13.67,16.16,12.91,0.0,454.0,34.83,15.0,19.95,3.96,12.66,19.09,0.99,20.0,23.21,IR-E-U-0105,63,Engineering,
723.0,30.0,16.9,20.16,10.28,0.75,469.0,28.8,14.84,17.01,152.0,19.26,21.13,5.53,20.0,20.87,IR-E-U-0878,64,Engineering,
8.5,18.95,12.99,22.32,13.63,0.5,,34.43,15.0,18.65,3.18,1771.0,20.72,11.08,20.0,19.53,IR-E-U-0622,65,Engineering,
13.2,20.86,13.09,15.27,18.57,425.0,245.0,27.44,14.79,14.28,,11.53,18.83,3.86,20.0,11.86,IR-E-U-0149,66,Engineering,
17.99,28.43,14.44,958.0,13.07,7.0,1.07,22.27,14.56,10.07,479.0,22.27,2751.0,2.07,20.0,10.76,IR-E-U-0474,67,Engineering,
15.19,30.0,15.55,943.0,9.94,450.0,0.7,30.64,14.84,12.17,271.0,0.79,24.66,2.07,20.0,48.83,IR-E-C-37013,68,Engineering,
8.19,21.47,12.78,25.89,933.0,0.25,8.13,31.22,15.0,23.58,147.0,21.08,18.86,0.0,20.0,24.63,IR-E-U-0221,69,Engineering,
15.48,26.44,14.08,12.09,1141.0,0.5,41.0,32.78,15.0,19.26,6.73,8.98,19.65,3.34,20.0,19.08,IR-E-C-6379,70,Engineering,
10.89,30.0,18.18,11.34,8.29,4.0,137.0,35.21,14.97,13.95,733.0,17.61,30.0,3.79,20.0,4.12,IR-E-U-0389,71,Engineering,
622.0,28.75,17.57,24.45,737.0,0.5,8.69,31.87,1481.0,17.63,0.83,21.42,10.75,685.0,20.0,847.0,IR-E-U-0946,72,Engineering,
13.01,19.86,13.23,16.29,14.9,2.25,,32.38,15.0,15.14,,13.7,16.83,13.8,20.0,5.73,IR-E-U-0197,73,Engineering,
461.0,30.0,17.5,14.38,25.02,0.5,4.29,16.43,6.99,1451.0,5.51,8.79,20.2,0.0,20.0,7387.0,IR-E-U-0042,74,Engineering,
14.5,28.93,15.52,11.43,1141.0,5.0,0.59,33.25,15.0,12.56,1.96,921.0,24.91,2.39,20.0,15.5,IR-E-C-1331,75,Engineering,
10.15,28.17,16.35,10.97,22.33,5.0,0.14,12.57,11.39,10.11,0.45,18.39,22.42,2.22,20.0,19.53,IR-E-U-0217,76,Engineering,
8.04,30.0,17.08,19.88,658.0,0.0,4.1,29.84,15.0,17.55,141.0,19.04,13.88,4.93,20.0,22.58,IR-E-U-0899,77,Engineering,
