insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-E-U-0356,2025,Engineering,2023-24,187390894.0,548539389.0,237050503.0,,,2335833355.0,3638642640.0,237050503.0,1062884018.0,335973376.0,104.0,42.0
IR-E-U-0356,2025,Engineering,2022-23,447375565.0,67445984.0,116393055.0,,,1944389797.0,2425810549.0,116393055.0,95942430.0,296740328.0,102.0,38.0
IR-E-U-0356,2025,Engineering,2021-22,227529868.0,368177194.0,160780061.0,,,1611827581.0,2181902743.0,160780061.0,74737471.0,58364778.0,88.0,33.0
IR-E-U-0497,2025,Engineering,2023-24,72472845.0,6415580.0,0.0,,,851462348.0,,,100110201.0,1631727.0,101.0,29.0
IR-E-U-0497,2025,Engineering,2022-23,59828305.0,1625661.0,0.0,,,749209662.0,,,109225025.0,4414154.0,67.0,26.0
IR-E-U-0497,2025,Engineering,2021-22,14355233.0,1868579.0,0.0,,,665672893.0,,,52253348.0,1154292.0,39.0,16.0
IR-E-U-0014,2025,Engineering,2023-24,18666960.0,102710067.0,9133487.0,,,,,,453682876.0,15800892.0,119.0,51.0
IR-E-U-0014,2025,Engineering,2022-23,58501746.0,106194076.0,5152729.0,,,,,,531567168.0,10726479.0,116.0,46.0
IR-E-U-0014,2025,Engineering,2021-22,33751307.0,41779260.0,1775260.0,,,,,,226745000.0,6677890.0,77.0,30.0
IR-E-U-0355,2025,Engineering,2023-24,77588886.0,83581192.0,2198894.0,,,,,,237705618.0,133894666.0,171.0,52.0
IR-E-U-0355,2025,Engineering,2022-23,49849095.0,162295181.0,19118290.0,,,,,,91831203.0,54935039.0,177.0,44.0
IR-E-U-0355,2025,Engineering,2021-22,44266661.0,83246887.0,22133973.0,,,,,,152520000.0,48146501.0,171.0,31.0
IR-E-U-0476,2025,Engineering,2023-24,504937398.0,274876645.0,0.0,,,,,,290115703.0,306550517.0,83.0,21.0
IR-E-U-0476,2025,Engineering,2022-23,608823474.0,368850712.0,0.0,,,,,,536455492.0,270951750.0,70.0,18.0
IR-E-U-0476,2025,Engineering,2021-22,1130851876.0,349427816.0,0.0,,,,,,74296975.0,303428062.0,87.0,14.0
IR-E-U-0308,2025,Engineering,2023-24,48935404.0,211971151.0,600000.0,,,,,,477771727.0,63541173.0,219.0,123.0
IR-E-U-0308,2025,Engineering,2022-23,38870514.0,250796339.0,960097.0,,,,,,298108295.0,59317543.0,171.0,96.0
IR-E-U-0308,2025,Engineering,2021-22,40727980.0,186985003.0,700000.0,,,,,,415594558.0,46707272.0,197.0,107.0
IR-E-U-0410,2025,Engineering,2023-24,156894460.0,142278762.0,9474702.0,,,1041118223.0,645896852.0,9474702.0,413756659.0,109418749.0,35.0,22.0
